B/C row-gated bridge source verifier
step family=B rank=6 m=5 mode=exact margin=394532495598
step family=B rank=6 m=6 mode=exact margin=107429591686376
step family=B rank=6 m=7 mode=exact margin=36743211853567888
step family=B rank=6 m=8 mode=exact margin=15402916386229121920
step family=B rank=6 m=9 mode=exact margin=7749575359181139560122
step family=B rank=6 m=10 mode=exact margin=4593287796970894378889952
step family=B rank=6 m=11 mode=exact margin=3154178306360917621117700396
step family=B rank=6 m=12 mode=exact margin=2472140128462390920242597865144
step family=B rank=6 m=13 mode=exact margin=2182509346428919788037629480721638
step family=B rank=6 m=14 mode=exact margin=2145733150428090640631386757102802984
step family=B rank=6 m=15 mode=exact margin=2326575068534996526640709645910194624736
step family=B rank=6 m=16 mode=exact margin=2759675420902756038572730296589337653305904
step family=B rank=6 m=17 mode=exact margin=3557129958301420090614819810987115314093585036
step family=B rank=6 m=18 mode=exact margin=4955562734772371075425658544132238678604706252528
step family=B rank=6 m=19 mode=exact margin=7429637688085937758015461920917214226577557477735912
step family=B rank=6 m=20 mode=exact margin=11947282663457086645632644228574504660524804875869771400
step family=B rank=6 m=21 mode=interval margin=15713865791823389633461861719949904847619864619628987120336
step family=B rank=6 m=22 mode=interval margin=23599608118457773554068237246264182308979454364368516909018048
step family=B rank=6 m=23 mode=interval margin=40839999378676347994671054624231814031058160302942574199694457984
step family=B rank=6 m=24 mode=interval margin=77878813496841919212468124865121033168460846607625158994653915720192
step family=B rank=6 m=25 mode=interval margin=160341436012687384354118714460466605221882073046146367100141611481426984
step family=B rank=6 m=26 mode=interval margin=352779193553652730276592735337498685819524166143679046898622346901868214176
step family=B rank=6 m=27 mode=interval margin=822685399114982146934886947046088994299959912998977723275597807097409964932496
step family=B rank=6 m=28 mode=interval margin=2016541500870170705576442870044136405033713026137524191006880768652195998834484912
step family=B rank=6 m=29 mode=interval margin=5143595710138460253862432902378445735576280525899875925532495911787839061167117548816
row family=B rank=6 m_range=5..29 exact_through=45 exact_steps=16 interval_steps=9 minimum_m=5 minimum_margin=394532495598
step family=B rank=7 m=6 mode=exact margin=107448369644864
step family=B rank=7 m=7 mode=exact margin=36777799723805308
step family=B rank=7 m=8 mode=exact margin=15455013440199073804
step family=B rank=7 m=9 mode=exact margin=7822009210648312098422
step family=B rank=7 m=10 mode=exact margin=4691764539569409463429128
step family=B rank=7 m=11 mode=exact margin=3289209587188659438798570504
step family=B rank=7 m=12 mode=exact margin=2662233753749509913074319553968
step family=B rank=7 m=13 mode=exact margin=2460180581823475460485223757123496
step family=B rank=7 m=14 mode=exact margin=2569274221312343301010938772594252128
step family=B rank=7 m=15 mode=exact margin=3003772907786626705635063424455075409832
step family=B rank=7 m=16 mode=exact margin=3897149334393025511338187564822088885903448
step family=B rank=7 m=17 mode=exact margin=5566562256139116415399556376507575237266078332
step family=B rank=7 m=18 mode=exact margin=8690843025534336514219667415356829458749501613744
step family=B rank=7 m=19 mode=exact margin=14736340302454309511304958440034220725993451021176456
step family=B rank=7 m=20 mode=interval margin=16838983674170555972241430128231180631062018872249346400
step family=B rank=7 m=21 mode=interval margin=22307156831883307804772650710676155956994115759243738883412
step family=B rank=7 m=22 mode=interval margin=35306101382368153748817295129783243130713360016647775652166656
step family=B rank=7 m=23 mode=interval margin=62578299480223559248375657956310956908904777268309909799867659652
step family=B rank=7 m=24 mode=interval margin=120699604748866298439690229938164782434473332477438278073699203526620
step family=B rank=7 m=25 mode=interval margin=250123941576228719792466827409971177144656302838832504700553837510530766
step family=B rank=7 m=26 mode=interval margin=551671325289422981504121185468542370279979177902490619670972466185485841944
step family=B rank=7 m=27 mode=interval margin=1283026518950501519181339906991640938931549320615022027547177773808477995049424
step family=B rank=7 m=28 mode=interval margin=3112804041517427155564458501293448175896238156904361941005485512798440798486202408
step family=B rank=7 m=29 mode=interval margin=7767188601577276735964948569186410803133518543949376900611408933628443730122599975016
row family=B rank=7 m_range=6..29 exact_through=43 exact_steps=14 interval_steps=10 minimum_m=6 minimum_margin=107448369644864
step family=B rank=8 m=7 mode=exact margin=36778114337611258
step family=B rank=8 m=8 mode=exact margin=15455921370389474604
step family=B rank=8 m=9 mode=exact margin=7824062361770650684868
step family=B rank=8 m=10 mode=exact margin=4695916868507841794197640
step family=B rank=8 m=11 mode=exact margin=3297220822177694319103696808
step family=B rank=8 m=12 mode=exact margin=2677515388377688590164556984792
step family=B rank=8 m=13 mode=exact margin=2489621300645270806980213565653704
step family=B rank=8 m=14 mode=exact margin=2627322220616314705673274142080983232
step family=B rank=8 m=15 mode=exact margin=3121901211869351372191322811091855293868
step family=B rank=8 m=16 mode=exact margin=4146613816750911691570331866041148272483152
step family=B rank=8 m=17 mode=exact margin=6115168834736717892740996498060164777952893032
step family=B rank=8 m=18 mode=exact margin=9949919213730692283943016722464356868329046668224
step family=B rank=8 m=19 mode=exact margin=17755849161376847794977497088788810795596117054203904
step family=B rank=8 m=20 mode=interval margin=20056814115397014749023778238041763024756805958841400416
step family=B rank=8 m=21 mode=interval margin=26316883840583017018874022611519299591396492404402910618704
step family=B rank=8 m=22 mode=interval margin=41641748568012356565074441227174331697409373487346641184869952
step family=B rank=8 m=23 mode=interval margin=74075384611780414259783942473124424927521289479444622042717414688
step family=B rank=8 m=24 mode=interval margin=143635645479525532563473275330347510850404384083011703957005498353520
step family=B rank=8 m=25 mode=interval margin=299619111384661873796966444617624100023449320673539435538412331903883776
step family=B rank=8 m=26 mode=interval margin=666044675341772834781112446813316554630486290348255058301462585259445390464
step family=B rank=8 m=27 mode=interval margin=1563495066191279071491472951316933599702362828107498193377414022520180123082344
step family=B rank=8 m=28 mode=interval margin=3835742327182262637000509964350648256910365267820708766232166154071101550497128816
step family=B rank=8 m=29 mode=interval margin=9703605116177420391644174051591509199146201423481801932415398784618221615095658630560
row family=B rank=8 m_range=7..29 exact_through=43 exact_steps=13 interval_steps=10 minimum_m=7 minimum_margin=36778114337611258
step family=B rank=9 m=8 mode=exact margin=15455926270288166976
step family=B rank=9 m=9 mode=exact margin=7824083511348991093014
step family=B rank=9 m=10 mode=exact margin=4695985831706818640454496
step family=B rank=9 m=11 mode=exact margin=3297416446385700293804916384
step family=B rank=9 m=12 mode=exact margin=2678033274249993033779882853456
step family=B rank=9 m=13 mode=exact margin=2490952728411806736210774922621002
step family=B rank=9 m=14 mode=exact margin=2630727942263462453270078488181221056
step family=B rank=9 m=15 mode=exact margin=3130704694897728652456922138829767692572
step family=B rank=9 m=16 mode=exact margin=4169846960460917379480339863248045480684608
step family=B rank=9 m=17 mode=exact margin=6178201350972284004487217526533364572020151884
step family=B rank=9 m=18 mode=exact margin=10126544896646727893687553486354706797289380004448
step family=B rank=9 m=19 mode=interval margin=10226844706653012960941838176196339923194198872670640
step family=B rank=9 m=20 mode=interval margin=12037032129269124893011945403425196931726639982270844656
step family=B rank=9 m=21 mode=interval margin=17213160751597614022409561433438039516461114883101067481724
step family=B rank=9 m=22 mode=interval margin=27787458179308856977470040043286568770579423635907470808180576
step family=B rank=9 m=23 mode=interval margin=49000309550075995688966743814503242108144739823445233710727796680
step family=B rank=9 m=24 mode=interval margin=93037493664291518509591648143811352815022016481973753692856772610272
