COMMAND: ./post_m29_bc_interval_formula_mpfr
B/C interval fixed-template direct-tail MPFR onset verifier
b_rank_lo=14 b_rank_hi=217 c_rank_lo=20 c_rank_hi=217 include_b=1 include_c=1 b_radius_slope=22 c_radius_slope=19 b_radius_offset=0 c_radius_offset=0 search_lo=63 search_hi=40001 slack=32 cheb_degree=8 cheb_scale=12000 cutoff=80 majorant_degree=32 log10_neg=-15 mpfr_precision=384 mpfr_version=4.2.1 max_fact=94396 OpenMP threads=32
CONDITIONAL_INPUT requires uniform B/C Chebyshev negative-tail bound degree=8 scale=12000 cutoff=80 majorant_degree=32 log10_negative_upper<=-15
factorial_log_precompute_start max_fact=94396
factorial_log_precompute_done max_fact=94396
row	onset	margin_lower_log10	slack_target	slack_margin_lower_log10	radius	c_push_lower
B_214	30013	1.73266358483385336464686	30045	75.6064622132936229526545	4708	87096.35421307689758352
B_215	30307	3.47478944131507821799176	30339	77.4167153304088205850378	4730	87933.35421307689758352
B_216	30601	1.83957199039135337853783	30633	75.8492927873634522169301	4752	88774.35421307689758352
B_217	30897	1.42886753523033068575346	30929	75.5060541143953553229545	4774	89619.35421307689758352
C_20	177	0.458603796575119758593466	209	24.0981301318323181393461	380	438.35421307689758352
C_21	191	0.63879598158227280108496	223	26.1722379624320581012314	399	502.35421307689758352
C_22	207	1.50105870861832223900135	239	28.7988080506275197285804	418	570.35421307689758352
C_23	223	1.43921155498379334440888	255	30.3891184327070510863238	437	642.35421307689758352
C_24	239	0.371244328772449076983076	271	30.8752013274377718256226	456	718.35421307689758352
C_25	257	0.186642149768511267371803	289	32.1580224537998691405394	475	798.35421307689758352
C_26	277	1.08081958733895837403572	309	34.4425148422166466618766	494	882.35421307689758352
C_27	297	1.02633812455216225703955	329	35.7092280069507855054215	513	970.35421307689758352
C_28	319	2.19351742449525833524412	351	38.1352568665867647739999	532	1062.35421307689758352
C_29	339	0.0607026754458729044639536	371	37.2047473345311289307677	551	1158.35421307689758352
C_30	363	1.52111864754999618758873	395	39.8159321041127519867064	570	1258.35421307689758352
C_31	387	1.97245146630609201240597	419	41.3708531349390989308297	589	1362.35421307689758352
C_32	411	1.3478989385505642758028	443	41.8065224042481106518083	608	1470.35421307689758352
C_33	437	2.14339935360888437403238	469	43.6222384166285162715231	627	1582.35421307689758352
C_34	463	1.83409642965126891359798	495	44.296121579259225435453	646	1698.35421307689758352
C_35	489	0.327168843519192385106929	521	43.7380008481630270422752	665	1818.35421307689758352
C_36	517	0.340881780404590565633357	549	44.6685120185857428785671	684	1942.35421307689758352
C_37	547	1.95781905929711707263624	579	47.1723684180909664188406	703	2070.35421307689758352
C_38	577	2.41012720572595409493335	609	48.4836370460153942168101	722	2202.35421307689758352
C_39	607	1.61167839199918050022013	639	48.5179283629755936177595	741	2338.35421307689758352
C_40	639	2.49819630568399701567208	671	50.2125447864625186988663	760	2478.35421307689758352
C_41	671	2.10696239318288694075489	703	50.6062061185136606815063	779	2622.35421307689758352
C_42	703	0.394190250341280404570856	735	49.3833354719485242995237	798	2770.35421307689758352
C_43	743	1.74920363767537822574061	775	50.7487045517661048520355	817	2922.35421307689758352
C_44	783	0.991538243101050196880307	815	50.3942876393400706620678	836	3078.35421307689758352
C_45	825	1.57315901036998683597314	857	51.3677779211060876098133	855	3238.35421307689758352
C_46	867	0.402503942775271986521728	899	50.5782382760479537296385	874	3402.35421307689758352
C_47	911	0.576118164682216226884433	943	51.1227885899884836126879	893	3570.35421307689758352
C_48	957	2.13699124426910829531664	989	53.0449482988491489700963	912	3742.35421307689758352
C_49	1003	1.88703385320940495564006	1035	53.14711760620211004771	931	3918.35421307689758352
C_50	1051	3.02713811881823077345617	1083	54.6306418290837294133594	950	4098.35421307689758352
C_51	1099	2.31568416638668951133019	1131	54.2543214515869096015346	969	4282.35421307689758352
C_52	1149	2.99700101736548130308355	1181	55.2628761201786367765436	988	4470.35421307689758352
C_53	1199	1.78800806077163383695693	1231	54.3735888553837104819664	1007	4662.35421307689758352
C_54	1251	1.97439196859787729079755	1283	54.8724853988496562558384	1026	4858.35421307689758352
C_55	1303	0.233494861964032433624509	1335	53.4372245433280796509584	1045	5058.35421307689758352
C_56	1359	3.23439747742266527822471	1391	56.737183229624199208978	1064	5262.35421307689758352
C_57	1413	0.947034452746413658928966	1445	54.7425735593644728042497	1083	5470.35421307689758352
C_58	1469	0.0595600344769759678977521	1501	54.1418100511139111280612	1102	5682.35421307689758352
C_59	1527	0.572894946239562086170812	1559	54.9360579005194444907585	1121	5898.35421307689758352
