TIGHT_OMEGA_PACKED_CERT max_m=8 partitions=43820 threads=32
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=3/3 elapsed=0.00s
